precinct,ballot_type,registered_voters,ballots_cast,turnout,KEITH_JUDD,MICHAEL_STEINBERG,BERNIE_SANDERS,WILLIE_WILSON,ROQUE_DE_LA_FUENTE,HILLARY_CLINTON,HENRY_HEWES,WRITE_IN,over_votes,under_votes
7935,VBM,639,299,46.79,1,,134,,,162,1,1,,
7936,Election_Day,587,252,42.93,,,118,1,,132,,1,,
7936,VBM,587,268,45.66,,,116,,,149,,,,3
7937,Election_Day,600,230,38.33,,,123,1,,104,1,,,1
7937,VBM,600,279,46.5,,1,130,,,146,,,,2
7938,Election_Day,503,193,38.37,,,104,,,88,,,,1
7938,VBM,503,195,38.77,,,99,,1,93,,,1,1
7939,Election_Day,488,218,44.67,,,110,,,107,,1,,
7939,VBM,488,208,42.62,,,104,,,104,,,,
7941,Election_Day,508,194,38.19,,,101,,1,92,,,,
7941,VBM,508,235,46.26,,,109,,,122,,,,4
7942,Election_Day,579,207,35.75,,,109,,,98,,,,
7942,VBM,579,242,41.8,,1,94,,,143,,1,1,2
7943,Election_Day,564,215,38.12,,,96,,,118,,,,1
7943,VBM,564,241,42.73,,,105,,,133,,1,,2
7944,Election_Day,513,223,43.47,,,127,,,94,,,,2
7944,VBM,513,212,41.33,,,104,,,105,,,1,2
7945,Election_Day,548,106,19.34,,,56,,,50,,,,
7945,VBM,548,273,49.82,,1,112,,,160,,,,
7946,Election_Day,521,142,27.26,,,67,,,74,,,,1
7946,VBM,521,246,47.22,,,82,2,,154,,1,,7
7947,Election_Day,473,136,28.75,,,79,,,54,,,,3
7947,VBM,473,196,41.44,,1,74,,,116,,1,,4
7948,Election_Day,481,161,33.47,,,90,1,,67,1,,1,1
7948,VBM,481,209,43.45,,,79,,,124,,1,,5
7949,Election_Day,281,67,23.84,1,,43,,,23,,,,
7949,VBM,281,134,47.69,,,53,,,75,1,,,5
7951,Election_Day,403,106,26.3,,,55,,1,49,1,,,
7951,VBM,403,208,51.61,,,110,,,87,,2,1,8
7952,Election_Day,417,114,27.34,,,73,,,39,,,,2
7952,VBM,417,184,44.12,,,86,,,96,,,,2
7953,Election_Day,452,140,30.97,,,66,,,73,,,,1
7953,VBM,452,209,46.24,,,97,,,107,,2,1,2
7954,Election_Day,0,0,0,,,,,,,,,,
7954,VBM,0,0,0,,,,,,,,,,
7955,Election_Day,466,127,27.25,,,66,,,59,,,1,1
7955,VBM,466,204,43.78,1,,89,3,,105,2,2,1,1
7956,Election_Day,376,86,22.87,,,46,,,38,,1,1,
7956,VBM,376,176,46.81,1,,83,,1,82,4,,,5
